aalborg;奥尔堡
strasbourg;斯特拉斯堡
stuttgart;斯图加特
suzzara;苏扎拉
swansea;斯旺西
szczecin;什切青
szeged;塞格德
tallinn;塔林
tampere;坦佩雷
taranto;塔兰托
tartu;塔尔图
terni;特尔尼
the_dalles;达尔斯
tonopah;托诺帕
torino;都灵
toulouse;图卢兹
travemunde;特拉沃明德
trelleborg;特雷勒堡
truckee;特拉基
tucson;图森
tucumcari;图克姆卡里
turku;图尔库
ukiah;尤奇亚
uppsala;乌普萨拉
utena;欧蒂娜
valmiera;瓦尔米耶拉
vasteraas;韦斯特罗斯
vaxjo;韦克舍
venezia;威尼斯
ventspils;文茨皮尔斯
verona;维罗纳
vilnius;维尔纽斯
vyborg;维堡
warszawa;华沙
wien;维也纳
winnemucca;温尼马卡
wroclaw;弗罗茨瓦夫
yuma;尤马
zurich;苏黎世
